battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,Price_Range
827,0,2.3,1,1,0,34,0.4,84,5,10,713,1742,3296,17,6,14,0,0,0,Above 15K
1651,0,2.4,1,5,1,14,0.9,81,8,10,1063,1205,462,18,7,11,1,1,1,Less Than INR 5K
1163,0,0.5,0,2,1,27,0.2,123,1,16,1421,1463,1591,11,9,20,1,1,0,INR 5K - 10K
1518,0,2.6,0,0,1,20,0.4,122,2,18,623,816,1593,19,11,2,1,0,1,Less Than INR 5K
964,1,1.9,1,13,1,42,0.1,101,7,17,83,816,2456,7,4,7,1,0,0,INR 5K - 10K
1838,0,1.4,1,3,0,14,0.7,199,4,4,1563,1692,2933,16,3,11,0,1,0,Above 15K
1029,0,2.2,1,1,1,22,0.9,197,7,2,777,1995,3154,14,11,7,1,0,0,Above 15K
1832,1,3,0,3,0,60,0.8,180,2,4,83,559,3615,5,2,9,1,0,0,Above 15K
572,0,1.6,0,9,0,24,0.1,87,1,16,203,915,3563,17,10,3,0,0,0,Above 15K
1771,1,0.5,1,6,0,33,0.6,147,8,7,938,1226,1440,17,15,19,1,0,0,INR 5K - 10K
971,1,2.4,1,14,1,57,0.6,117,2,17,1077,1183,1907,15,14,5,1,0,0,INR 5K - 10K
643,0,2.3,0,0,1,38,0.7,89,1,1,773,881,324,14,10,2,1,1,1,Less Than INR 5K
623,0,1,0,0,0,50,0.5,104,4,10,332,866,1404,10,3,15,1,1,1,INR 5K - 10K
601,0,2.5,0,2,1,8,0.8,169,4,18,570,1645,2738,18,16,12,1,0,0,INR 10K - 15K
1413,0,0.5,0,1,1,60,0.8,156,3,3,742,821,2722,12,6,16,1,0,0,INR 10K - 15K
734,0,1,1,5,1,12,0.9,103,8,6,1420,1539,2294,8,7,20,1,0,1,Above 15K
1071,1,2.8,0,1,1,30,0.1,193,1,10,1801,1923,1424,18,4,13,1,0,1,INR 5K - 10K
876,1,2.2,1,4,0,55,1,189,8,9,1693,1790,1133,14,3,10,0,1,0,INR 5K - 10K
1995,1,2,1,5,1,58,0.6,101,6,11,31,1536,555,19,10,11,1,0,1,Less Than INR 5K
824,1,2.3,0,0,0,9,0.6,183,6,5,1098,1373,3785,13,10,14,1,0,1,Above 15K
1909,1,1.3,1,5,0,59,0.2,84,7,19,1765,1786,3675,12,0,12,0,0,0,Above 15K
791,1,0.5,0,0,1,38,0.8,86,5,10,887,1775,435,9,2,2,1,1,0,Less Than INR 5K
1331,1,1.9,1,12,0,11,0.8,193,8,14,760,1964,3183,5,0,4,1,1,1,INR 10K - 15K
1661,1,1.8,0,9,1,6,0.8,199,2,15,486,1032,3495,17,4,7,1,1,0,INR 10K - 15K
1777,0,0.6,0,9,0,57,0.2,86,3,10,2,660,1853,15,10,18,0,0,1,INR 5K - 10K
1612,0,0.8,0,7,0,16,0.4,138,4,12,202,1787,2648,12,0,19,1,1,0,INR 10K - 15K
1411,1,3,0,9,0,19,0.8,160,7,16,90,1614,2647,14,13,20,0,1,0,INR 10K - 15K
1773,1,0.7,1,1,0,30,0.7,146,8,8,469,853,702,19,15,15,1,1,1,Less Than INR 5K
1281,1,0.7,0,5,0,5,0.4,189,2,7,86,1546,1836,12,11,18,1,0,0,INR 10K - 15K
1713,0,1,1,9,1,18,0.2,182,5,16,1180,1350,3894,13,10,9,1,1,0,Above 15K
1563,0,0.5,0,9,1,30,1,111,2,19,140,1046,2944,19,17,17,1,0,1,Above 15K
892,0,0.5,1,7,1,44,0.1,89,8,8,1100,1437,3424,13,11,9,1,1,0,Above 15K
1958,1,1.8,1,1,0,40,0.5,177,1,5,194,892,2678,9,4,14,1,1,1,INR 10K - 15K
1111,0,0.5,0,2,1,15,0.7,100,8,8,440,569,2424,12,5,9,1,1,0,INR 10K - 15K
876,0,2.2,0,2,0,20,0.9,82,6,16,1563,1803,2671,15,10,12,0,1,1,Above 15K
1212,0,0.5,1,4,1,27,0.9,199,1,10,163,1011,3078,15,2,6,1,0,1,INR 10K - 15K
770,1,0.5,1,0,1,15,0.3,92,3,1,192,1311,2304,18,4,18,1,1,0,INR 10K - 15K
672,1,1.6,0,17,1,45,0.5,159,2,18,837,1405,1146,6,1,17,1,1,0,INR 5K - 10K
1873,1,1.3,0,0,1,39,1,108,7,1,356,588,2335,6,4,2,1,0,1,INR 5K - 10K
1077,1,0.9,1,2,0,23,1,155,7,19,155,663,1422,5,0,15,1,1,0,INR 5K - 10K
1326,1,0.7,0,0,0,55,0.1,140,8,1,1032,1776,2096,15,3,3,0,0,0,INR 10K - 15K
912,0,1.9,1,1,1,18,0.1,153,6,3,40,1435,1303,17,16,4,1,1,1,Less Than INR 5K
1274,0,1.2,1,18,1,36,0.8,151,2,19,1194,1727,1115,16,2,18,1,0,1,INR 5K - 10K
1063,0,0.6,0,1,0,42,0.9,192,5,2,1179,1262,456,12,8,18,1,1,0,Less Than INR 5K
1318,1,1.4,1,1,1,43,0.6,104,8,3,902,969,3396,14,2,18,1,0,0,Above 15K
941,1,1.2,0,0,0,28,0.3,130,2,3,58,963,2750,6,1,14,0,1,0,INR 10K - 15K
730,0,0.5,1,12,1,54,0.2,112,4,19,1385,1780,941,15,8,20,1,0,1,Less Than INR 5K
1495,0,2.9,0,7,1,2,0.1,95,6,19,614,1617,2278,13,4,2,1,0,0,INR 10K - 15K
1547,0,0.5,0,5,1,26,0.5,172,4,10,672,1088,2273,8,4,8,1,0,1,INR 10K - 15K
1254,0,2.3,1,0,1,14,0.7,191,5,0,1088,1718,2355,17,16,2,1,1,1,INR 10K - 15K
896,0,1.9,0,2,0,50,0.1,146,1,10,499,695,2328,17,10,2,1,0,0,INR 10K - 15K
794,1,2.2,1,1,1,28,0.5,182,2,2,157,763,2638,8,4,13,1,1,1,INR 5K - 10K
1629,1,0.7,0,1,0,23,0.6,178,6,14,485,1399,558,8,5,13,1,0,0,Less Than INR 5K
626,0,0.5,0,3,1,39,0.9,124,4,4,571,817,1345,16,0,11,1,0,1,Less Than INR 5K
1111,0,1.5,0,6,0,12,0.1,154,2,9,431,542,425,7,0,11,1,1,1,Less Than INR 5K
1000,0,2.9,0,0,0,16,0.7,115,4,1,499,1090,2192,15,13,9,1,1,1,INR 5K - 10K
1857,1,2,0,0,0,14,0.6,135,6,2,563,1055,3397,19,15,17,1,0,1,INR 10K - 15K
1716,0,2.4,0,6,1,3,0.9,93,7,17,944,1003,1208,14,13,17,1,1,0,INR 5K - 10K
1898,1,1.6,1,2,1,27,0.7,124,2,6,1138,1491,267,12,10,16,1,1,0,Less Than INR 5K
1203,0,0.7,0,0,1,34,0.9,113,4,10,161,647,3518,7,3,8,1,1,1,Above 15K
1172,0,0.5,1,6,0,16,0.3,164,8,14,126,1575,3122,7,0,4,0,0,1,INR 10K - 15K
965,1,1.9,1,0,1,43,0.3,124,8,2,15,1196,1050,11,9,3,1,1,1,Less Than INR 5K
1974,1,1.8,1,11,0,56,0.1,136,2,13,500,1713,3358,17,11,12,1,1,1,Above 15K
1993,0,2.7,1,2,0,42,0.8,138,8,3,203,1771,2929,10,4,17,1,0,0,INR 10K - 15K
547,0,1.5,0,2,1,12,0.3,153,8,5,961,1950,624,9,7,15,1,0,0,Less Than INR 5K
1094,0,1.7,0,6,0,49,0.6,132,1,17,608,1970,1598,7,0,8,0,1,0,INR 5K - 10K
1881,0,0.5,1,0,1,24,0.1,155,5,1,277,1155,2052,17,6,10,1,1,0,INR 10K - 15K
1766,0,2.6,1,9,1,15,0.6,120,6,20,114,1849,1249,16,2,4,1,1,0,INR 5K - 10K
1641,1,1.9,0,2,1,54,0.3,154,2,7,630,738,412,17,11,2,1,0,0,Less Than INR 5K
1831,1,2.4,1,0,0,19,0.1,122,2,1,404,1742,595,19,0,3,0,0,0,Less Than INR 5K
827,1,1.7,1,2,0,19,0.3,167,7,19,248,755,263,6,5,8,0,0,0,Less Than INR 5K
1865,0,2,0,0,1,22,0.7,86,8,0,225,1234,2577,17,16,5,1,1,0,INR 10K - 15K
587,1,2.4,1,6,0,46,0.1,193,4,10,699,851,639,6,0,3,0,0,1,Less Than INR 5K
1207,1,0.6,1,11,0,2,0.1,141,1,14,649,895,3206,10,9,10,1,1,0,Above 15K
833,1,2.6,1,5,0,26,1,159,5,15,416,1658,1550,7,2,3,0,1,0,INR 5K - 10K
849,0,0.5,0,1,1,31,0.6,171,2,12,1310,1420,1646,12,0,6,1,1,0,INR 5K - 10K
1852,1,2,0,11,0,35,0.1,200,4,14,930,1983,1930,17,7,15,0,1,0,INR 10K - 15K
1167,0,1.1,0,3,0,11,0.7,87,2,7,835,1175,3695,6,5,18,1,0,0,Above 15K
1777,0,0.5,1,1,1,36,0.9,87,8,11,664,1806,3235,6,1,10,1,0,1,Above 15K
1255,0,0.5,0,0,0,7,0.9,191,6,12,460,1583,2334,8,7,14,0,1,0,INR 10K - 15K
1495,0,0.6,0,3,0,62,0.7,187,4,19,778,1615,1998,17,4,17,0,0,0,INR 5K - 10K
985,0,2.2,0,0,1,7,0.1,142,1,2,225,1545,2258,10,1,10,1,0,0,INR 10K - 15K
1180,1,0.6,0,16,1,42,0.3,121,7,17,785,1118,1869,12,2,7,1,1,1,INR 5K - 10K
514,0,3,1,10,1,30,0.6,127,3,13,1581,1713,1825,7,1,4,1,0,1,INR 10K - 15K
558,1,0.5,1,1,1,5,0.1,165,5,2,9,1944,3946,12,5,14,1,1,1,Above 15K
745,1,2.8,0,1,0,8,0.1,103,7,3,7,1294,436,10,6,15,1,1,1,Less Than INR 5K
1130,0,2.9,0,0,0,53,0.7,112,6,2,174,1175,2678,6,0,8,1,0,0,INR 10K - 15K
1149,1,0.5,0,7,0,59,0.5,80,1,11,437,638,3887,8,6,7,1,0,1,Above 15K
1794,1,2.1,1,10,0,35,0.1,172,4,16,278,623,1813,16,13,20,1,1,1,INR 5K - 10K
1311,1,1.2,0,2,1,27,0.2,134,2,10,1288,1372,817,14,1,16,1,1,1,Less Than INR 5K
1605,0,1.6,1,4,1,24,0.2,101,1,17,979,1190,3614,15,12,9,1,0,0,Above 15K
1677,1,2.2,1,0,1,39,0.5,119,8,18,56,1931,2013,11,7,16,1,1,0,INR 5K - 10K
1002,1,0.8,0,1,0,5,0.9,154,5,17,913,1429,543,8,7,18,0,0,1,Less Than INR 5K
1087,0,1.9,0,8,0,27,0.4,174,8,13,282,710,3400,16,6,13,0,1,1,INR 10K - 15K
1987,0,0.5,1,3,0,17,0.2,89,6,4,322,710,2623,17,16,16,0,0,0,INR 5K - 10K
635,0,1.7,1,0,1,33,0.5,105,4,2,1252,1963,2700,9,3,19,1,0,0,INR 10K - 15K
503,1,0.8,1,9,1,21,0.6,116,2,10,1128,1702,1400,11,0,13,1,1,0,INR 5K - 10K
1642,0,2.3,1,0,1,58,0.3,170,5,20,606,688,3127,10,7,11,1,0,0,INR 10K - 15K
624,0,2.7,0,12,1,44,0.7,175,5,17,655,1459,2803,19,9,6,1,1,1,Above 15K
963,0,2.3,1,3,0,15,0.2,150,5,11,954,970,2518,18,17,5,0,1,1,INR 10K - 15K
1058,0,1.2,0,1,0,6,0.5,191,6,15,68,1042,3564,7,2,2,1,1,0,Above 15K
1863,0,1.6,0,2,0,37,0.2,145,1,3,134,1197,2515,14,8,4,1,0,1,INR 10K - 15K
556,0,2.8,1,1,0,40,0.2,117,3,7,922,1836,3654,13,9,10,1,1,1,Above 15K
1001,0,2.7,0,0,1,24,0.1,135,8,19,1874,1976,3930,17,1,18,1,1,1,Above 15K
842,1,0.5,1,7,1,39,0.1,89,7,19,251,599,3476,11,8,17,1,1,0,Above 15K
866,1,0.8,0,5,0,41,0.2,192,1,12,1362,1853,3242,18,11,4,1,0,1,Above 15K
1000,0,0.8,0,7,0,52,1,82,6,8,281,1159,2666,5,4,20,1,1,0,INR 10K - 15K
1233,0,1.1,0,6,0,48,0.7,97,8,7,224,1994,1695,13,6,17,1,0,1,INR 10K - 15K
1195,0,1.4,1,0,1,15,0.2,189,3,1,778,844,3510,14,4,18,1,0,1,INR 10K - 15K
613,1,1.1,1,3,0,17,0.1,161,8,20,546,1424,3438,14,3,20,0,0,0,Above 15K
1363,1,2.7,0,3,1,41,0.1,97,4,10,397,891,2033,16,9,2,1,1,0,INR 5K - 10K
1470,0,1.5,0,1,0,62,1,182,1,2,386,1046,1017,11,3,9,1,0,0,INR 5K - 10K
987,1,3,1,5,1,38,0.8,193,2,10,214,1970,1686,8,1,8,1,0,1,INR 5K - 10K
1844,0,2.7,0,1,1,58,1,135,5,12,461,833,862,7,0,20,1,0,0,Less Than INR 5K
1562,0,0.5,0,6,1,11,0.3,81,5,14,125,675,957,6,5,11,1,1,0,Less Than INR 5K
1696,0,2.9,0,5,0,16,0.1,89,4,12,335,1009,3494,13,3,14,0,0,1,Above 15K
668,0,2.6,1,11,1,56,1,165,4,13,342,1641,3083,8,4,11,1,1,1,INR 10K - 15K
1769,0,1.2,0,12,0,30,0.9,131,6,14,625,761,1656,8,4,15,1,1,1,INR 5K - 10K
1270,0,2.3,0,6,1,34,0.2,165,2,12,494,509,313,15,1,19,1,1,0,Less Than INR 5K
1110,1,0.5,1,1,1,20,0.8,179,8,6,1145,1487,3282,16,2,18,1,1,1,Above 15K
937,1,2.9,0,0,0,47,0.5,186,6,4,600,1042,3629,19,17,5,0,1,1,Above 15K
1714,0,1.7,1,11,1,44,0.5,169,2,14,484,711,1687,15,5,5,1,1,1,INR 5K - 10K
1176,1,0.8,0,13,1,28,0.8,182,4,20,199,679,1149,8,7,18,1,1,0,Less Than INR 5K
1941,0,2.8,0,1,1,62,0.8,104,3,7,21,832,3899,5,4,6,1,0,1,Above 15K
856,0,0.5,1,10,1,4,0.5,134,2,13,885,1811,1783,13,12,10,1,1,0,INR 10K - 15K
772,1,0.5,1,2,1,47,0.5,189,5,13,308,1208,1629,8,6,11,1,1,0,INR 5K - 10K
646,0,2.6,1,3,0,8,0.8,185,1,7,1015,1947,2528,11,8,8,0,1,0,INR 10K - 15K
1308,1,2,0,0,1,2,0.8,88,7,2,1303,1814,3256,9,6,5,1,1,0,Above 15K
1949,1,2.8,1,16,0,41,1,180,8,17,406,1036,2341,10,9,16,0,0,1,INR 10K - 15K
1510,1,2.8,1,6,0,57,0.9,151,1,12,124,833,2785,15,10,16,1,0,0,INR 10K - 15K
627,0,0.5,1,14,1,14,0.1,164,3,17,150,1677,3761,13,1,12,1,0,0,Above 15K
1191,1,2,0,9,1,5,0.7,199,6,16,108,1963,1513,15,6,2,1,0,1,INR 5K - 10K
1728,1,1.7,1,1,1,45,0.6,167,2,7,90,557,2240,10,6,5,1,1,0,INR 5K - 10K
1671,1,1,1,0,1,5,0.2,194,4,1,588,1809,820,19,18,3,1,1,1,INR 5K - 10K
1151,1,0.5,0,2,1,59,0.5,159,2,3,1028,1196,1875,16,8,8,1,1,1,INR 5K - 10K
1209,1,0.5,1,0,1,33,0.1,157,3,17,776,1247,920,16,2,10,1,1,1,Less Than INR 5K
1813,0,2.5,0,10,1,63,1,174,4,14,278,584,3615,18,8,13,1,0,1,INR 10K - 15K
771,0,1.8,0,2,0,7,0.6,88,7,3,897,1103,1412,16,9,5,0,0,1,INR 5K - 10K
1560,0,2.9,1,4,0,5,0.2,136,1,13,651,700,361,6,1,10,0,1,0,Less Than INR 5K
1903,0,0.6,1,5,0,50,0.3,81,4,8,1010,1684,1540,12,8,3,1,1,0,INR 5K - 10K
1752,1,2.8,1,3,1,11,0.8,109,2,9,737,1759,1077,6,1,4,1,0,1,Less Than INR 5K
1417,0,2,1,0,0,40,0.2,93,5,1,1399,1646,3610,13,7,9,0,0,1,Above 15K
1289,1,2.1,1,10,0,57,0.3,158,6,18,376,1288,512,5,2,6,0,0,0,Less Than INR 5K
1004,1,3,0,14,0,62,0.5,114,8,20,1117,1330,3024,6,0,20,0,0,1,Above 15K
1716,1,0.5,1,4,1,27,1,134,1,17,234,1947,1610,11,0,16,1,0,0,INR 5K - 10K
1968,0,2.9,0,5,1,16,1,175,1,19,691,1028,2201,17,16,12,1,0,0,INR 5K - 10K
963,1,1.3,1,4,1,42,1,162,7,15,380,1550,3338,18,13,11,1,1,1,Above 15K
1488,1,1.5,1,6,0,61,0.2,196,4,9,603,1483,3473,7,3,4,0,0,1,Above 15K
1570,1,1.3,1,10,1,10,0.3,114,8,17,117,681,2203,7,5,15,1,1,1,INR 5K - 10K
1147,0,0.5,0,10,0,13,0.2,155,4,11,766,877,940,14,10,15,1,1,0,INR 5K - 10K
1380,0,2.5,0,1,0,4,0.6,146,8,9,1499,1952,1155,19,14,12,0,1,1,INR 5K - 10K
1505,1,1.8,1,0,0,20,0.1,93,4,0,1175,1578,3872,10,2,7,0,0,1,Above 15K
1946,0,0.5,1,3,1,61,0.2,115,6,6,988,1503,1882,16,6,10,1,0,1,INR 10K - 15K
1631,1,2.9,0,16,1,16,0.6,119,8,19,190,1905,1798,16,7,10,1,0,0,INR 5K - 10K
1126,1,0.5,1,1,1,18,0.1,96,6,3,674,1375,2598,17,2,3,1,0,0,Above 15K
615,0,0.5,0,0,1,46,0.6,199,1,7,518,1374,1567,15,2,7,1,1,0,INR 5K - 10K
855,0,1,1,14,0,2,0.9,125,1,20,1618,1916,1491,16,2,14,1,0,0,INR 5K - 10K
1471,0,1.5,0,5,1,42,0.8,120,2,7,857,989,2003,12,4,3,1,0,0,INR 10K - 15K
1827,1,1.6,1,4,1,54,0.9,190,4,6,371,665,3905,6,2,4,1,0,0,Above 15K
808,0,3,0,5,1,57,0.4,111,5,10,73,583,291,19,9,11,1,1,1,Less Than INR 5K
1997,1,1.5,0,6,1,9,0.8,118,8,13,98,755,1693,11,4,18,1,0,1,INR 5K - 10K
1084,0,1.9,1,7,1,25,0.3,152,4,9,395,1853,1788,13,11,13,1,0,1,INR 5K - 10K
1036,0,1.2,0,3,0,26,0.7,112,6,5,1064,1540,3322,18,7,20,0,0,1,Above 15K
1522,1,2.8,1,0,1,32,0.9,80,6,1,712,1726,1751,12,10,20,1,0,1,INR 10K - 15K
1315,1,2.7,0,10,0,23,0.4,117,1,14,774,939,1641,14,8,12,1,1,0,INR 5K - 10K
536,1,0.7,0,4,1,51,0.1,178,7,7,1012,1040,2854,10,7,12,1,0,1,INR 10K - 15K
674,0,1,0,5,1,17,0.9,101,4,9,730,1148,3115,7,0,2,1,0,0,INR 10K - 15K
1220,1,1.7,1,6,0,45,0.1,121,1,9,777,1090,3259,10,1,14,1,0,1,Above 15K
1607,1,0.5,1,5,1,49,0.6,172,8,6,973,1633,1612,17,9,17,1,1,0,INR 10K - 15K
1604,1,0.5,1,0,0,37,0.2,127,4,0,245,829,2319,5,4,4,0,0,0,INR 5K - 10K
1959,1,2.8,1,0,1,7,0.1,138,5,4,937,1083,1258,17,14,16,1,0,0,INR 5K - 10K
696,1,2,0,3,0,41,0.7,158,5,5,937,1164,1543,18,3,10,0,0,1,INR 5K - 10K
1442,0,0.5,1,14,1,49,0.3,178,2,15,574,1171,3991,12,4,19,1,0,0,Above 15K
1471,1,1.6,0,5,1,62,0.3,143,1,9,678,1630,3555,5,2,19,1,0,0,Above 15K
1891,1,2.8,1,13,1,5,1,87,4,18,82,512,3411,17,16,18,1,0,0,Above 15K
1153,0,1.9,0,5,0,24,0.2,190,8,19,398,1775,524,9,3,4,0,0,0,Less Than INR 5K
1620,1,1.9,0,13,1,35,0.4,142,6,14,1096,1570,3541,18,17,4,1,0,1,Above 15K
1003,0,1.6,1,5,0,4,0.3,169,6,7,1419,1698,1998,9,2,4,0,0,0,INR 10K - 15K
743,1,0.5,1,0,1,33,0.9,200,5,0,157,770,3437,11,1,2,1,0,0,Above 15K
1307,1,0.5,1,1,1,17,0.5,114,2,8,430,1207,1637,17,3,11,1,0,1,INR 5K - 10K
1425,0,0.5,0,6,1,52,0.4,153,1,14,1524,1848,3064,7,6,3,1,0,0,Above 15K
943,0,0.5,0,18,1,12,0.6,196,2,19,1649,1829,2855,16,13,7,1,1,1,INR 10K - 15K
1935,0,0.6,1,0,1,53,0.5,106,1,12,254,954,1393,9,4,4,1,1,1,INR 5K - 10K
1291,0,2.2,1,4,1,33,0.4,138,7,10,1790,1988,1633,18,4,4,1,0,0,INR 10K - 15K
931,0,1.1,0,4,1,48,0.5,127,4,5,1438,1832,2392,10,4,15,1,0,1,Above 15K
1700,1,2.1,1,0,1,26,0.3,82,2,0,1304,1673,3284,15,2,8,1,0,1,Above 15K
1850,1,0.9,0,3,0,20,0.9,117,6,9,813,1180,464,7,5,16,1,0,1,Less Than INR 5K
1923,1,1.8,0,1,0,45,0.7,180,7,7,948,1007,1234,19,13,18,1,1,0,Less Than INR 5K
549,1,0.5,0,0,1,36,0.7,139,3,1,1161,1288,292,8,0,6,1,1,1,Less Than INR 5K
917,1,2.1,1,2,1,33,0.4,174,3,9,867,1258,2521,6,5,16,1,0,0,INR 10K - 15K
1784,1,2.9,1,0,0,20,0.6,180,5,0,181,1199,2658,15,0,19,1,0,0,INR 10K - 15K
1084,0,1.4,1,8,0,27,0.5,91,4,9,754,1532,587,6,3,13,0,1,1,Less Than INR 5K
1699,1,2.7,0,8,1,2,0.1,118,4,16,242,1127,2190,18,1,9,1,0,1,INR 10K - 15K
1970,1,1.4,1,19,1,35,0.3,110,4,20,405,742,879,16,2,8,1,0,0,Less Than INR 5K
870,0,2.1,1,0,0,54,0.9,80,1,13,1569,1763,1743,7,1,9,0,1,0,INR 10K - 15K
1338,1,0.5,0,16,0,21,0.1,156,4,20,105,1099,1181,16,0,18,1,1,0,INR 5K - 10K
638,1,0.5,0,1,0,29,0.5,181,7,12,978,1986,3330,14,4,15,1,0,1,Above 15K
834,0,0.5,0,15,1,42,0.6,153,8,16,725,1882,3564,12,1,17,1,0,0,Above 15K
1249,0,1,1,0,1,56,0.4,146,4,14,657,1657,562,17,14,8,1,1,1,Less Than INR 5K
1175,1,0.5,0,0,1,47,0.2,82,4,1,1147,1393,1659,11,10,11,1,1,0,INR 5K - 10K
1832,1,0.5,0,8,0,14,0.6,183,8,11,910,1566,1816,12,7,7,0,0,1,INR 10K - 15K
1003,1,1.4,1,2,1,49,0.8,156,5,9,295,503,1338,16,8,5,1,1,1,Less Than INR 5K
1011,0,2.8,0,10,1,7,0.8,131,8,12,26,508,2992,15,3,17,1,1,0,INR 10K - 15K
1118,0,0.8,1,5,1,7,0.2,85,8,20,332,764,315,16,7,7,1,1,0,Less Than INR 5K
991,0,1.9,0,0,0,2,0.6,197,7,3,519,533,3249,19,0,12,0,0,1,INR 10K - 15K
1565,1,2.7,1,0,0,5,0.7,200,4,1,161,1029,3242,10,1,20,0,1,0,INR 10K - 15K
1066,1,0.8,1,2,0,28,0.6,194,4,6,1080,1289,2725,15,10,7,0,0,0,INR 10K - 15K
1983,1,0.6,1,0,1,27,0.3,145,4,2,649,1290,586,19,8,19,1,0,1,Less Than INR 5K
1608,0,2.4,0,6,1,9,0.4,89,3,8,71,1686,2454,9,8,13,1,1,0,INR 10K - 15K
1067,1,0.9,0,7,0,30,1,147,4,20,744,1244,804,17,14,16,0,1,1,Less Than INR 5K
682,1,2.3,0,3,1,44,0.2,148,7,14,437,1113,2460,10,5,18,1,0,0,INR 10K - 15K
1164,0,2.6,1,7,0,27,0.1,146,1,10,115,1111,1295,18,15,17,1,0,1,Less Than INR 5K
1286,1,2,1,2,1,8,0.9,139,5,3,547,957,2625,15,11,12,1,1,0,INR 10K - 15K
754,1,0.5,1,2,0,21,0.1,177,2,19,495,1035,1999,15,9,2,1,0,1,INR 5K - 10K
1780,1,2.7,1,3,0,15,0.9,153,2,7,1466,1717,2698,11,8,6,1,0,0,INR 10K - 15K
988,0,1.4,0,5,1,26,0.1,129,6,16,117,1115,3742,13,3,13,1,1,0,Above 15K
847,0,2.8,1,0,1,21,0.1,158,5,3,760,1722,1193,16,13,20,1,0,1,INR 5K - 10K
1026,0,1.1,0,12,0,24,0.1,129,7,16,764,1873,3511,16,14,15,1,1,1,Above 15K
620,0,1.1,1,6,1,20,1,192,2,8,776,1005,885,11,1,14,1,1,0,Less Than INR 5K
1826,0,3,1,6,1,5,0.5,167,5,7,53,1504,1044,8,7,11,1,0,0,Less Than INR 5K
1864,0,0.5,1,12,1,17,0.9,194,5,19,371,1702,2548,6,1,5,1,0,1,INR 10K - 15K
1826,1,2.1,1,0,1,19,0.9,132,2,1,728,818,2940,13,0,15,1,0,1,INR 10K - 15K
1959,0,0.8,1,4,1,11,0.8,199,5,7,1791,1896,3966,17,15,2,1,1,1,Above 15K
1450,1,0.5,0,11,1,48,0.1,121,8,20,606,1316,3484,11,10,16,1,0,0,Above 15K
514,1,2.6,1,2,0,5,0.8,90,1,3,1225,1717,1246,12,2,20,0,1,0,INR 5K - 10K
774,1,1.9,0,4,1,52,0.5,83,3,8,419,736,2757,17,12,15,1,1,0,INR 10K - 15K
1525,0,0.9,1,15,1,24,0.6,136,3,18,367,1264,2378,18,3,4,1,0,0,INR 5K - 10K
1820,0,1.8,0,4,1,12,0.7,104,6,5,1230,1263,1794,18,7,19,1,1,1,INR 5K - 10K
808,0,0.5,0,5,0,32,0.6,187,8,18,267,1161,3933,7,0,7,1,0,1,Above 15K
1871,1,1.4,0,9,0,26,0.1,186,6,10,273,891,1637,7,3,6,1,0,1,Less Than INR 5K
780,1,1.9,1,2,0,21,0.1,110,8,8,705,1905,783,6,1,11,1,1,0,Less Than INR 5K
843,1,1.6,0,2,0,42,0.5,182,5,6,214,679,3094,12,4,20,0,0,0,INR 10K - 15K
1136,1,0.5,1,0,1,28,0.5,130,8,0,424,1032,1774,12,8,10,1,0,0,INR 5K - 10K
687,1,0.8,0,6,1,59,0.8,161,7,14,84,793,256,18,7,2,1,0,1,Less Than INR 5K
777,0,0.5,0,3,1,52,0.3,86,2,9,605,1429,1365,9,3,16,1,0,1,INR 5K - 10K
1714,0,1.1,0,11,1,45,0.2,188,3,20,1175,1586,2339,19,2,10,1,1,0,INR 10K - 15K
1954,1,2.3,0,5,1,57,0.2,129,2,6,657,938,2049,12,8,5,1,1,0,INR 5K - 10K
1607,1,0.9,1,0,1,28,0.8,158,5,1,371,1023,3241,14,11,11,1,1,0,Above 15K
508,1,0.5,1,10,1,21,0.5,80,4,11,833,1441,867,8,3,3,1,1,0,Less Than INR 5K
966,1,1.3,0,1,0,50,0.7,82,5,9,102,1195,2175,14,4,14,0,0,1,INR 5K - 10K
524,1,0.5,1,5,0,44,0.5,121,2,9,1299,1935,3497,18,10,18,0,1,0,Above 15K
961,0,1.3,1,1,0,10,0.1,104,4,3,258,1889,609,11,3,5,1,0,1,Less Than INR 5K
1458,1,1.7,1,0,1,43,0.2,111,6,1,56,1150,3285,11,5,17,1,1,0,INR 10K - 15K
856,0,2.3,1,1,1,35,0.1,157,1,3,443,708,3684,15,8,6,1,0,0,Above 15K
1584,0,1.9,1,2,0,57,0.1,181,6,6,1279,1793,3586,19,9,8,0,0,1,Above 15K
1573,1,0.5,0,1,1,26,0.5,92,4,9,313,712,2322,19,8,7,1,0,1,INR 10K - 15K
1324,0,,0,5,1,56,0.2,180,2,10,523,565,354,10,4,13,1,1,1,Less Than INR 5K
1315,1,0.7,1,3,1,27,0.7,128,4,4,919,1482,3204,18,1,9,1,0,1,Above 15K
649,0,1.3,0,2,0,44,0.1,139,3,3,570,1021,1400,17,7,3,0,0,1,INR 5K - 10K
730,1,1.7,0,5,1,23,0.6,198,8,6,380,682,2308,11,10,9,1,1,0,INR 5K - 10K
594,1,0.5,1,3,0,46,0.5,105,8,15,119,529,1082,15,5,10,1,0,1,Less Than INR 5K
1730,0,1.2,1,4,0,40,0.9,164,2,17,296,839,3104,17,7,11,0,0,0,INR 10K - 15K
